,Unnamed: 0,Star_name,Distance,Mass,Radius
4099,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4100,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4101,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4102,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4103,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4104,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4105,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4106,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4107,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4108,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4109,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4110,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4111,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4112,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4113,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4114,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4115,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4116,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4117,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4118,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4119,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4120,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4121,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4122,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4123,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4124,37.0,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
4125,137.0,2MASS J14392837+1929150,47,0.068730336,0.10584589
4126,139.0,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
4127,170.0,2MASSI J2057540-025230,47,0.06682116,0.10481826
4128,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4129,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4130,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4131,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4132,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4133,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4134,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4135,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4136,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4137,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4138,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4139,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4140,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4141,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4142,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4143,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4144,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4145,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4146,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4147,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4148,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4149,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4150,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4151,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4152,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4153,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4154,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4155,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4156,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4157,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4158,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4159,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4160,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4161,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4162,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4163,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4164,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4165,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4166,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4167,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4168,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4169,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
4170,46.0,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
4171,131.0,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
4172,155.0,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
